District,Major_Soil_Type,pH
Alappuzha,Kari (Acid Saline) / Alluvium,4.7
Alappuzha,Kari (Acid Saline) / Alluvium,4.8
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,5.0
Alappuzha,Kari (Acid Saline) / Alluvium,4.8
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,4.7
Alappuzha,Kari (Acid Saline) / Alluvium,4.8
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,5.0
Alappuzha,Kari (Acid Saline) / Alluvium,4.8
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,4.7
Alappuzha,Kari (Acid Saline) / Alluvium,4.8
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,5.0
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,4.8
Alappuzha,Kari (Acid Saline) / Alluvium,4.9
Alappuzha,Kari (Acid Saline) / Alluvium,4.7
Ernakulam,Laterite / Alluvium / Acid Saline,5.1
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.3
Ernakulam,Laterite / Alluvium / Acid Saline,5.1
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.0
Ernakulam,Laterite / Alluvium / Acid Saline,5.3
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.1
Ernakulam,Laterite / Alluvium / Acid Saline,5.3
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.1
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.3
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.1
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.3
Ernakulam,Laterite / Alluvium / Acid Saline,5.2
Ernakulam,Laterite / Alluvium / Acid Saline,5.1
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.6
Idukki,Forest Loam / Laterite,5.4
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.6
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.4
Idukki,Forest Loam / Laterite,5.6
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.6
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.4
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.6
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.4
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.6
Idukki,Forest Loam / Laterite,5.5
Idukki,Forest Loam / Laterite,5.6
Kannur,Laterite / Coastal Alluvium,5.2
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.4
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.2
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.4
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.2
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.4
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.2
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.4
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.2
Kannur,Laterite / Coastal Alluvium,5.3
Kannur,Laterite / Coastal Alluvium,5.4
Kannur,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.2
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.4
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.2
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.4
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.2
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.4
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.2
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.4
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.2
Kasaragod,Laterite / Coastal Alluvium,5.3
Kasaragod,Laterite / Coastal Alluvium,5.4
Kasaragod,Laterite / Coastal Alluvium,5.3
Kollam,Laterite / Coastal Alluvium,5.1
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.3
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.1
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.3
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.1
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.3
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.1
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.3
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.1
Kollam,Laterite / Coastal Alluvium,5.2
Kollam,Laterite / Coastal Alluvium,5.3
Kollam,Laterite / Coastal Alluvium,5.2
Kottayam,Laterite / Alluvium / Kari,5.0
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.2
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.0
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.2
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.0
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.2
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.0
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.2
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.0
Kottayam,Laterite / Alluvium / Kari,5.1
Kottayam,Laterite / Alluvium / Kari,5.2
Kottayam,Laterite / Alluvium / Kari,5.1
Kozhikode,Laterite / Coastal Alluvium,5.4
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.6
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.4
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.6
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.4
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.6
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.4
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.6
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.4
Kozhikode,Laterite / Coastal Alluvium,5.5
Kozhikode,Laterite / Coastal Alluvium,5.6
Kozhikode,Laterite / Coastal Alluvium,5.5
Malappuram,Laterite / Alluvium,5.5
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.7
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.5
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.7
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.5
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.7
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.5
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.7
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.5
Malappuram,Laterite / Alluvium,5.6
Malappuram,Laterite / Alluvium,5.7
Malappuram,Laterite / Alluvium,5.6
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
